iter	Passed	Remaining
0	24	24734
1	43	21798
2	67	22320
3	89	22375
4	110	21917
5	128	21272
6	145	20682
7	163	20304
8	180	19896
9	197	19580
10	220	19785
11	241	19849
12	262	19965
13	281	19853
14	304	19996
15	322	19848
16	341	19765
17	363	19834
18	382	19732
19	401	19662
20	419	19548
21	435	19342
22	452	19240
23	471	19177
24	489	19090
25	505	18943
26	520	18771
27	539	18717
28	555	18583
29	572	18495
30	589	18425
31	605	18322
32	623	18283
33	639	18174
34	654	18033
35	668	17902
36	686	17870
37	706	17884
38	725	17881
39	742	17818
40	760	17781
41	778	17752
42	794	17676
43	811	17627
44	829	17613
45	847	17567
46	865	17546
47	882	17504
48	899	17452
49	915	17399
50	934	17382
51	952	17355
52	970	17335
53	987	17295
54	1002	17233
55	1021	17212
56	1038	17179
57	1053	17112
58	1069	17049
59	1084	16987
60	1099	16924
61	1116	16885
62	1131	16826
63	1147	16776
64	1161	16708
65	1179	16693
66	1195	16651
67	1213	16635
68	1227	16568
69	1244	16528
70	1258	16470
71	1275	16437
72	1291	16394
73	1309	16386
74	1326	16356
75	1342	16327
76	1359	16299
77	1377	16277
78	1395	16272
79	1415	16280
80	1433	16267
81	1450	16240
82	1469	16240
83	1491	16259
84	1507	16227
85	1524	16200
86	1540	16164
87	1559	16163
88	1578	16155
89	1595	16134
90	1610	16086
91	1626	16052
92	1642	16020
93	1658	15982
94	1675	15959
95	1692	15940
96	1709	15917
97	1729	15919
98	1750	15927
99	1765	15889
100	1783	15878
101	1802	15867
102	1818	15838
103	1836	15819
104	1851	15780
105	1867	15753
106	1885	15738
107	1902	15713
108	1916	15668
109	1932	15632
110	1947	15597
111	1961	15553
112	1977	15519
113	1993	15492
114	2010	15474
115	2027	15449
116	2042	15413
117	2057	15381
118	2071	15333
119	2086	15301
120	2102	15275
121	2119	15253
122	2135	15229
123	2149	15187
124	2165	15161
125	2180	15123
126	2197	15102
127	2213	15076
128	2228	15043
129	2244	15018
130	2258	14983
131	2274	14955
132	2288	14919
133	2304	14891
134	2318	14858
135	2335	14835
136	2350	14806
137	2365	14778
138	2381	14752
139	2399	14738
140	2415	14716
141	2430	14685
142	2450	14685
143	2469	14677
144	2487	14666
145	2507	14666
146	2530	14683
147	2546	14661
148	2563	14643
149	2583	14637
150	2601	14627
151	2619	14614
152	2634	14584
153	2650	14561
154	2664	14524
155	2681	14506
156	2697	14482
157	2712	14454
158	2726	14420
159	2745	14411
160	2761	14388
161	2776	14364
162	2797	14365
163	2812	14335
164	2827	14306
165	2840	14272
166	2856	14249
167	2870	14215
168	2886	14193
169	2899	14155
170	2914	14129
171	2928	14096
172	2943	14068
173	2957	14039
174	2974	14024
175	2990	14002
176	3007	13982
177	3024	13966
178	3039	13939
179	3056	13924
180	3071	13900
181	3087	13878
182	3102	13850
183	3120	13838
184	3138	13824
185	3153	13800
186	3167	13772
187	3182	13744
188	3198	13725
189	3214	13701
190	3229	13677
191	3243	13649
192	3259	13630
193	3273	13601
194	3289	13581
195	3306	13561
196	3324	13552
197	3338	13524
198	3354	13503
199	3371	13486
200	3389	13473
201	3404	13449
202	3421	13434
203	3440	13424
204	3465	13439
205	3484	13432
206	3501	13415
207	3520	13406
208	3537	13390
209	3556	13380
210	3573	13363
211	3589	13342
212	3607	13327
213	3625	13316
214	3641	13297
215	3655	13269
216	3671	13248
217	3688	13230
218	3704	13210
219	3717	13180
220	3734	13161
221	3748	13134
222	3764	13117
223	3779	13091
224	3792	13062
225	3808	13042
226	3824	13022
227	3837	12995
228	3853	12975
229	3868	12951
230	3886	12937
231	3899	12909
232	3915	12889
233	3930	12867
234	3946	12845
235	3959	12819
236	3976	12800
237	3990	12774
238	4006	12755
239	4023	12740
240	4039	12720
241	4054	12699
242	4068	12674
243	4084	12655
244	4097	12627
245	4115	12614
246	4131	12594
247	4148	12580
248	4164	12559
249	4181	12543
250	4195	12519
