iter	MultiClass
0	1.561123364
1	1.345109236
2	1.19064735
3	1.053880589
4	0.9528442905
5	0.8617952763
6	0.7907324116
7	0.7318541467
8	0.6850592934
9	0.6393233575
10	0.5911882431
11	0.5461742975
12	0.5135746597
13	0.4842515066
14	0.4575010545
15	0.4334383676
16	0.4052889707
17	0.3769964259
18	0.3525251664
19	0.3332776083
20	0.3146710273
21	0.3013483605
22	0.2882858076
23	0.2741774589
24	0.2595997654
25	0.2474491473
26	0.2371716829
27	0.2304897347
28	0.2223113509
29	0.2121646817
30	0.2035743125
31	0.1967897462
32	0.1883271485
33	0.1836083216
34	0.1789286648
35	0.1734038311
36	0.1672245187
37	0.1628592484
38	0.1568779029
39	0.1526430048
40	0.1494884334
41	0.1449844012
42	0.1390364188
43	0.1357594454
44	0.1314152049
45	0.1273012585
46	0.1231753378
47	0.1204246725
48	0.1186048606
49	0.1158280956
50	0.1135646861
51	0.1104920294
52	0.107527042
53	0.1053929222
54	0.1035175816
55	0.1010550476
56	0.09911696228
57	0.09779940508
58	0.09648965264
59	0.0949452166
60	0.09371188994
61	0.09239958727
62	0.09070974425
63	0.08952048419
64	0.08856547974
65	0.0863711327
66	0.08467262899
67	0.08269673281
68	0.08202682968
69	0.08042477267
70	0.07982483125
71	0.07864271009
72	0.07716298105
73	0.0759290395
74	0.07557075307
75	0.07454195073
76	0.07363529456
77	0.07283390873
78	0.07184293322
79	0.07017866917
80	0.06896352158
81	0.06850447797
82	0.0670758963
83	0.06582672655
84	0.06546713831
85	0.06472547743
86	0.06382873202
87	0.06346339507
88	0.06275937205
89	0.06227285699
90	0.06194359016
91	0.06133028116
92	0.06005870941
93	0.05958788377
94	0.05862257721
95	0.05798954685
96	0.05755884287
97	0.05675337554
98	0.05606306794
99	0.0556100594
100	0.05476173004
101	0.0536837929
102	0.05297032054
103	0.05223520963
104	0.05174825777
105	0.05125803295
106	0.05045168736
107	0.04969934481
108	0.04929075603
109	0.04887951473
110	0.04848444361
111	0.04837598254
112	0.04811134726
113	0.04789159586
114	0.04746676528
115	0.04706371159
116	0.04685559612
117	0.04641974333
118	0.04612975189
119	0.0459295588
120	0.04541427296
121	0.04497696117
122	0.04456373137
123	0.04416534264
124	0.04386649993
125	0.04372881616
126	0.04349125256
127	0.04314471068
128	0.04283395639
129	0.04239657543
130	0.04207124378
131	0.04169433407
132	0.04131811141
133	0.04106802531
134	0.04079892473
135	0.04019021673
136	0.03987844075
137	0.03960844214
138	0.0392601128
139	0.03892929946
140	0.03874616463
141	0.03850882135
142	0.03828105701
143	0.03809438848
144	0.03778247962
145	0.03760834411
146	0.03717900163
147	0.03686145946
