iter	Passed	Remaining
0	69	69373
1	100	50128
2	129	43119
3	158	39464
4	185	36990
5	220	36608
6	253	35893
7	287	35676
8	314	34597
9	342	33949
10	372	33528
11	405	33362
12	433	32893
13	461	32489
14	493	32387
15	522	32105
16	550	31809
17	588	32101
18	623	32207
19	655	32103
20	687	32035
21	716	31845
22	746	31726
23	780	31759
24	812	31703
25	852	31937
26	880	31726
27	905	31449
28	939	31453
29	992	32083
30	1025	32062
31	1051	31806
32	1078	31596
33	1101	31299
34	1123	30971
35	1146	30696
36	1171	30484
37	1194	30247
38	1225	30186
39	1251	30024
40	1275	29833
41	1301	29682
42	1329	29579
43	1353	29413
44	1381	29317
45	1406	29165
46	1435	29114
47	1461	28990
48	1485	28832
49	1512	28737
50	1538	28622
51	1563	28507
52	1590	28413
53	1616	28311
54	1654	28420
55	1693	28554
56	1725	28541
57	1753	28483
58	1780	28389
59	1807	28311
60	1830	28183
61	1852	28031
62	1877	27929
63	1902	27818
64	1923	27673
65	1950	27601
66	1975	27513
67	2002	27450
68	2025	27327
69	2054	27295
70	2079	27215
71	2104	27130
72	2132	27074
73	2157	26999
74	2179	26882
75	2208	26848
76	2232	26755
77	2254	26645
78	2282	26615
79	2308	26551
80	2337	26520
81	2359	26416
82	2386	26364
83	2413	26316
84	2439	26257
85	2460	26149
86	2485	26078
87	2508	25998
88	2537	25973
89	2559	25881
90	2581	25782
91	2605	25712
92	2631	25660
93	2654	25585
94	2683	25561
95	2705	25475
96	2725	25376
97	2752	25330
98	2777	25279
99	2799	25195
100	2824	25141
101	2850	25096
102	2874	25033
103	2900	24984
104	2927	24949
105	2956	24935
106	2983	24897
107	3022	24960
108	3047	24912
109	3073	24867
110	3097	24807
111	3117	24716
112	3141	24660
113	3161	24569
114	3185	24511
115	3210	24463
116	3231	24389
117	3255	24334
118	3277	24267
119	3299	24195
120	3322	24137
121	3345	24079
122	3367	24008
123	3392	23963
124	3415	23905
125	3436	23837
126	3456	23759
127	3479	23704
128	3501	23645
129	3526	23600
130	3549	23543
131	3572	23489
132	3597	23451
133	3620	23399
134	3645	23359
135	3670	23318
136	3695	23280
137	3718	23228
138	3742	23180
139	3766	23135
140	3787	23074
141	3808	23014
142	3831	22960
143	3852	22903
144	3876	22859
145	3899	22811
146	3927	22791
147	3953	22758
148	3977	22714
149	4003	22688
150	4027	22643
151	4049	22592
